Player 1 Name,Player 2 Name,Player 1 Score,Player 2 Score,Winner,Score Difference,Number of Moves
ga,mcts,31,52.5,White,21.5,110
ga,mcts,39,46.5,White,7.5,99
ga,mcts,34,50.5,White,16.5,100
ga,mcts,15,60.5,White,45.5,103
ga,mcts,39,46.5,White,7.5,104
ga,mcts,37,48.5,White,11.5,97
ga,mcts,19,26.5,White,7.5,41
ga,mcts,37,48.5,White,11.5,103
ga,mcts,40,45.5,White,5.5,112
ga,mcts,20,61.5,White,41.5,115
ga,mcts,25,56.5,White,31.5,105
ga,mcts,30,51.5,White,21.5,89
ga,mcts,19,64.5,White,45.5,134
ga,mcts,79,7.5,Black,71.5,163
ga,mcts,32,54.5,White,22.5,132
ga,mcts,15,68.5,White,53.5,127
ga,mcts,36,48.5,White,12.5,105
ga,mcts,14,19.5,White,5.5,31
ga,mcts,32,52.5,White,20.5,99
ga,mcts,36,49.5,White,13.5,95
ga,mcts,30,55.5,White,25.5,98
ga,mcts,34,49.5,White,15.5,93
ga,mcts,38,48.5,White,10.5,98
ga,mcts,36,51.5,White,15.5,97
ga,mcts,24,48.5,White,24.5,94
ga,mcts,42,45.5,White,3.5,100
ga,mcts,19,66.5,White,47.5,138
ga,mcts,32,50.5,White,18.5,91
ga,mcts,35,50.5,White,15.5,109
ga,mcts,30,42.5,White,12.5,69
ga,mcts,31,41.5,White,10.5,69
ga,mcts,32,53.5,White,21.5,126
ga,mcts,32,52.5,White,20.5,111
ga,mcts,9,15.5,White,6.5,21
ga,mcts,23,60.5,White,37.5,111
ga,mcts,17,65.5,White,48.5,123
ga,mcts,71,16.5,Black,54.5,162
ga,mcts,37,46.5,White,9.5,83
ga,mcts,25,57.5,White,32.5,105
ga,mcts,37,46.5,White,9.5,92
ga,mcts,35,50.5,White,15.5,104
ga,mcts,39,46.5,White,7.5,88
ga,mcts,26,58.5,White,32.5,102
ga,mcts,44,35.5,Black,8.5,69
ga,mcts,14,20.5,White,6.5,31
ga,mcts,29,55.5,White,26.5,101
ga,mcts,41,43.5,White,2.5,97
ga,mcts,17,68.5,White,51.5,129
ga,mcts,32,53.5,White,21.5,108
ga,mcts,49.5,38,Black,11.5,108
ga,mcts_9x9,40,44.5,White,4.5,92
