Episode,DQN Loss,Mean Episode Rewards
1000,0.038924873,-0.19
2000,0.014112528,-0.16
3000,0.028991478,0.33
4000,0.02256582,0.62
5000,0.02386563,0.23
6000,0.023252137,0.46
7000,0.007765348,0.65
8000,0.009476278,0.38
9000,0.009664855,0.78
10000,0.022606798,0.4
11000,0.006506841,0.24
12000,0.009584459,0.37
13000,0.009492655,0.04
14000,0.038753506,0.61
15000,0.014233869,0.56
16000,0.006437861,0.57
17000,0.034475155,0.47
18000,0.015906898,0.4
19000,0.016599221,0.64
20000,0.030595042,0.05
21000,0.02469791,-0.17
22000,0.019398624,0.11
23000,0.01043099,-0.09
24000,0.056020644,0.32
25000,0.020430017,0.1
26000,0.030779785,0.37
27000,0.01632961,0.1
28000,0.010804935,-0.06
29000,0.031220004,0.24
30000,0.030004563,-0.08
31000,0.04200361,0.11
32000,0.01887662,-0.02
33000,0.025999144,0.2
34000,0.0104971025,0.31
35000,0.01745079,0.24
36000,0.0012261018,0.32
