Player 1 Name (Black),Player 2 Name (White),Player 1 Score,Player 2 Score,Winner,Score Difference,Number of Moves
dqn,ga,6,157.5,White,151.5,333
dqn,ga,12,159.5,White,147.5,239
dqn,ga,31,136.5,White,105.5,289
dqn,ga,23,120.5,White,97.5,250
dqn,ga,28,7.5,Black,20.5,101
dqn,ga,21,145.5,White,124.5,176
dqn,ga,147,25.5,Black,121.5,183
dqn,ga,19,153.5,White,134.5,206
dqn,ga,8,163.5,White,155.5,197
dqn,ga,88,82.5,Black,5.5,194
dqn,ga,3,159.5,White,156.5,303
dqn,ga,78,96.5,White,18.5,240
dqn,ga,13,158.5,White,145.5,249
dqn,ga,3,170.5,White,167.5,197
dqn,ga,66,108.5,White,42.5,203
dqn,ga,9,66.5,White,57.5,265
dqn,ga,4,169.5,White,165.5,245
dqn,ga,10,163.5,White,153.5,287
dqn,ga,12,159.5,White,147.5,310
dqn,ga,136,11.5,Black,124.5,256
dqn,mcts,52,62.5,White,10.5,109
dqn,mcts,77,82.5,White,5.5,171
dqn,mcts,52,65.5,White,13.5,113
dqn,mcts,37,37.5,White,0.5,71
dqn,mcts,7,13.5,White,6.5,17
dqn,mcts,32,41.5,White,9.5,67
dqn,mcts,65,96.5,White,31.5,169
dqn,mcts,4,10.5,White,6.5,11
dqn,mcts,19,25.5,White,6.5,41
dqn,mcts,25,28.5,White,3.5,47
dqn,mcts,53,69.5,White,16.5,119
dqn,mcts,71,93.5,White,22.5,223
dqn,mcts,79,86.5,White,7.5,211
dqn,mcts,73,93.5,White,20.5,183
dqn,mcts,21,26.5,White,5.5,43
dqn,mcts,57,68.5,White,11.5,121
dqn,mcts,64,86.5,White,22.5,145
dqn,mcts,53,62.5,White,9.5,111
dqn,mcts,67,74.5,White,7.5,135
dqn,mcts,64,70.5,White,6.5,127
dqn,mcts_trained,76,91.5,White,15.5,217
dqn,mcts_trained,71,77.5,White,6.5,147
dqn,mcts_trained,14,19.5,White,5.5,29
dqn,mcts_trained,36,43.5,White,7.5,75
dqn,mcts_trained,53,57.5,White,4.5,99
dqn,mcts_trained,81,86.5,White,5.5,180
dqn,mcts_trained,45,53.5,White,8.5,97
dqn,mcts_trained,69,78.5,White,9.5,143
dqn,mcts_trained,67,81.5,White,14.5,161
dqn,mcts_trained,47,52.5,White,5.5,95
dqn,mcts_trained,59,66.5,White,7.5,123
dqn,mcts_trained,45,93.5,White,48.5,187
dqn,mcts_trained,56,62.5,White,6.5,113
dqn,mcts_trained,73,89.5,White,16.5,195
dqn,mcts_trained,64,75.5,White,11.5,133
dqn,mcts_trained,35,40.5,White,5.5,71
dqn,mcts_trained,11,17.5,White,6.5,25
dqn,mcts_trained,35,40.5,White,5.5,69
dqn,mcts_trained,72,99.5,White,27.5,207
dqn,mcts_trained,41,46.5,White,5.5,83
dqn,random,74,85.5,White,11.5,165
dqn,random,146,24.5,Black,121.5,301
dqn,random,63,67.5,White,4.5,124
dqn,random,90,82.5,Black,7.5,223
dqn,random,57,109.5,White,52.5,215
dqn,random,79,88.5,White,9.5,197
dqn,random,88,77.5,Black,10.5,170
dqn,random,51,60.5,White,9.5,107
dqn,random,25,145.5,White,120.5,328
dqn,random,95,56.5,Black,38.5,218
dqn,random,15,155.5,White,140.5,324
dqn,random,143,25.5,Black,117.5,302
dqn,random,95,74.5,Black,20.5,214
dqn,random,32,105.5,White,73.5,222
dqn,random,141,10.5,Black,130.5,339
dqn,random,89,81.5,Black,7.5,214
dqn,random,29,144.5,White,115.5,319
dqn,random,78,82.5,White,4.5,161
dqn,random,135,38.5,Black,96.5,333
dqn,random,86,83.5,Black,2.5,198
ga,dqn,118,46.5,Black,71.5,339
ga,dqn,94,80.5,Black,13.5,253
ga,dqn,119.0,30.5,Black,88.5,264
ga,dqn,135,32.5,Black,102.5,176
ga,dqn,74,100.5,White,26.5,253
ga,dqn,148,23.5,Black,124.5,242
ga,dqn,17,156.5,White,139.5,276
ga,dqn,148,26.5,Black,121.5,199
ga,dqn,92,79.5,Black,12.5,215
ga,dqn,49,124.5,White,75.5,249
ga,dqn,83,81.5,Black,1.5,164
ga,dqn,107,46.5,Black,60.5,205
ga,dqn,75,89.5,White,14.5,164
ga,dqn,101,68.5,Black,32.5,231
ga,dqn,118,55.5,Black,62.5,168
ga,dqn,142,27.5,Black,114.5,157
ga,dqn,152,16.5,Black,135.5,298
ga,dqn,156,15.5,Black,140.5,321
ga,dqn,35,139.5,White,104.5,199
ga,dqn,91,79.5,Black,11.5,192
ga,mcts,76,87.5,White,11.5,199
ga,mcts,60,71.5,White,11.5,125
ga,mcts,52,119.5,White,67.5,276
ga,mcts,74,97.5,White,23.5,219
ga,mcts,80,84.5,White,4.5,167
ga,mcts,34,136.5,White,102.5,277
ga,mcts,69,103.5,White,34.5,242
ga,mcts,26,31.5,White,5.5,55
ga,mcts,82,85.5,White,3.5,173
ga,mcts,68,99.5,White,31.5,195
ga,mcts,85,89.5,White,4.5,254
ga,mcts,73,97.5,White,24.5,215
ga,mcts,83,87.5,White,4.5,185
ga,mcts,134,38.5,Black,95.5,339
ga,mcts,43,48.5,White,5.5,85
ga,mcts,85,85.5,White,0.5,201
ga,mcts,83,86.5,White,3.5,197
ga,mcts,77,88.5,White,11.5,171
ga,mcts,33,132.5,White,99.5,294
